frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
58,147.258056640625,-211.4122772216797,-1455.2877197265625,-0.6535383853483065,-0.6268526764379063,-0.4241972429412548,0.278509481295131,-0.7202866903589664,0.6353105953157427,-0.7037897752205878,0.29705690655892836,0.6453194143682605
59,109.9385757446289,-229.88314819335938,-1459.0048828125,-0.5423888716505904,-0.7069385619687057,-0.4539297098794238,0.3403022707040968,-0.6788706181442004,0.6506374169798006,-0.7681202226625954,0.1984251834373089,0.6087846664582109
60,14.083683013916016,-254.72930908203125,-1468.4156494140625,-0.2538288689920281,-0.8419985450839191,-0.47603503583537954,0.3593338112752058,-0.5390182361506526,0.7617995492066624,-0.8980256774394942,0.022311234246507872,0.43937693554138096
61,-0.0702056884765625,-295.5264892578125,-1425.8939208984375,-0.032843679648636145,-0.912494841392066,-0.40776765092391265,0.24836918637099256,-0.4026412021170091,0.8810180529473735,-0.9681084856401936,-0.0723410449927144,0.23985981997994818
62,1.597686767578125,-291.66656494140625,-1427.7557373046875,-0.032310613904308685,-0.9224543260522924,-0.3847519208224149,0.25019362835188036,-0.38016162812870363,0.8904382543616679,-0.9676565364638674,-0.06749187244360891,0.2430754504116114
63,46.04449462890625,-265.81787109375,-1420.71484375,-0.06256904846921982,-0.9701145714907352,-0.2344415329138664,0.28107887227901884,-0.24252194518722708,0.9285352840150763,-0.9576428257612601,-0.007798992495873937,0.28785307707932856
64,50.53369140625,-264.7685852050781,-1421.138916015625,-0.06175414555417678,-0.9723772591068065,-0.22509751548786142,0.2805057494900643,-0.23334653401097927,0.9310563460758323,-0.9578637429247914,-0.00564455817556699,0.2871675276787259
65,49.173072814941406,-263.57763671875,-1423.270751953125,-0.06456988717148454,-0.9714882635847893,-0.22812558687633544,0.2765655612419803,-0.23706919540464455,0.9312946294943952,-0.958823351825335,-0.002958091818247238,0.28398772805743666
66,110.20567321777344,-250.79039001464844,-1422.247314453125,-0.12106840167973172,-0.9750608935027633,-0.1860072473757628,0.3006440193880446,-0.21460305241900832,0.9292785930487398,-0.9460209383099912,0.056584307489245166,0.3191278747227298
67,112.80635833740234,-252.93418884277344,-1421.509521484375,-0.14198084007181214,-0.9701982365533973,-0.19635891332246802,0.29566866596762925,-0.23087887497929568,0.9269708652666583,-0.9446806238181372,0.07355492421974727,0.31963759495028465
68,112.09410095214844,-252.13931274414062,-1422.1075439453125,-0.13939779983191153,-0.9708409663280871,-0.19502838639841197,0.29128438088564906,-0.22843927379637885,0.9289611981344792,-0.9464257302367082,0.07268642436197427,0.31463474197771696
69,112.29742431640625,-251.85659790039062,-1423.2071533203125,-0.14540762935836368,-0.968843155075592,-0.2004982847496529,0.2934906595338812,-0.23576960979045947,0.9264318236468466,-0.9448385333435275,0.07586588141204606,0.31862911660239907
70,110.40924835205078,-251.39364624023438,-1423.73828125,-0.13968871168871608,-0.9706776553195939,-0.19563218878804756,0.2922132928870477,-0.22918090034295385,0.9284866753907142,-0.9460964302262509,0.07253278142501203,0.31565889870538455
71,98.93364715576172,-255.04904174804688,-1450.467041015625,-0.13096676548799535,-0.9709421268770225,-0.20029751020203995,0.3605107379074003,-0.23484888601448442,0.9027059369424892,-0.9235148695018799,0.04601507354421565,0.380792461605592
72,104.67757415771484,-229.50311279296875,-1623.5123291015625,-0.0676487061545757,-0.979209408841973,-0.1912396041382783,0.6673063437143424,-0.18690252185675754,0.7209505468214724,-0.7417047230496835,-0.07884402931698627,0.6660763641256567
73,105.12368774414062,-234.85037231445312,-1659.146728515625,-0.07930080175757817,-0.9643248971744608,-0.2525645967471904,0.6568421336494854,-0.2411309216633213,0.7144328450460468,-0.7498465138302616,-0.10923997119764732,0.6525310984078386
74,104.31501007080078,-235.45541381835938,-1659.4263916015625,-0.08267882626830145,-0.9629001097467164,-0.2568804981633631,0.6558122807402355,-0.246654975984945,0.7134925194086879,-0.7503828783475718,-0.10947466132227943,0.6518748610056884
75,110.54110717773438,-226.11483764648438,-1662.811279296875,-0.024212278341147545,-0.9783786149274833,-0.20539973571090597,0.6900638518142803,-0.165018045986456,0.7046849827533228,-0.7233433804195416,-0.12467690384105275,0.679139178410316
76,109.44088745117188,-226.4020233154297,-1662.093994140625,-0.023135704720194505,-0.9807492387471842,-0.1938960284892874,0.6908909517917526,-0.15586704911959648,0.705956907842848,-0.7225887017518238,-0.11762820110657085,0.681196869051118
77,109.49667358398438,-227.1075439453125,-1660.793701171875,-0.025619687303675615,-0.9813447871610989,-0.19054143993945108,0.6880083358641073,-0.1555901136481825,0.7088273741302937,-0.7252504128947213,-0.11293416332838888,0.679159563982834
78,98.15735626220703,-231.68431091308594,-1656.8814697265625,-0.04275585035847251,-0.984479770779136,-0.17021021763332492,0.6817394125831499,-0.1532883020451175,0.7153559042790565,-0.7303446519218894,-0.08545336378858791,0.6777126323349075
79,92.9510726928711,-239.28591918945312,-1656.9471435546875,-0.0825729842506799,-0.9682341817449366,-0.2360175238677208,0.6646173503880252,-0.22997248536373485,0.7109123951225128,-0.7426072177370335,-0.0981591833520427,0.6624947508384668
80,90.45965576171875,-242.4453887939453,-1655.57958984375,-0.10286074014642425,-0.9611053753244148,-0.2563125546262718,0.6541153699205342,-0.25948376306730664,0.710493673116202,-0.749368234561789,-0.09457607639855675,0.655364490038026
81,93.42985534667969,-240.104736328125,-1656.1912841796875,-0.09493958710650365,-0.9660054521074106,-0.24045777446113878,0.6591320768781622,-0.24201581982226825,0.7120205391602379,-0.7460103082600984,-0.09089449628284801,0.6597020619303537
82,98.51094818115234,-239.71408081054688,-1652.109375,-0.101485826326651,-0.9705766021233125,-0.21836136669649697,0.6577008271835342,-0.23014114170646316,0.7172619304104607,-0.7464115814863083,-0.07082453180085864,0.6617050979993259
83,188.92413330078125,-287.48077392578125,-1602.8668212890625,-0.34546372812526527,-0.8831996669589747,-0.3171957768214278,0.5460355145853694,-0.46407735432354513,0.6974793373395012,-0.7632168953589037,0.06775365294664928,0.6425802775926922
84,200.9676055908203,-350.292236328125,-1605.838623046875,-0.33194005016272526,-0.864569680056487,-0.3772732052836392,0.5258898781590957,-0.5016405950199151,0.6868744786916143,-0.7831064034649307,0.02959698895308569,0.6211830479795243
85,185.78952026367188,-355.5665588378906,-1603.5335693359375,-0.3097889164153615,-0.8688573997696013,-0.38615754056058926,0.5272301080658294,-0.4949537458047228,0.6906874855263903,-0.7912390538990665,0.010373445882676729,0.6114189653628919
86,186.01702880859375,-354.5454406738281,-1603.7578125,-0.3054739913470434,-0.8752361269681843,-0.37502981569501725,0.5320393749403192,-0.4835265529915025,0.6950799781789647,-0.7896959820865374,0.012798226513384069,0.6133648679819307
87,185.845703125,-352.060302734375,-1601.178466796875,-0.29592105811497843,-0.89269057115976,-0.3399033267365487,0.5372800871406477,-0.4497675716561833,0.7134698588228083,-0.7897853096419619,0.028507466547580764,0.6127205635726526
88,-25.388935089111328,-268.522216796875,-1493.9359130859375,-0.16395641273834655,-0.9799732682481993,-0.11300746984565169,0.5159051329800329,-0.1828243299790843,0.8369092890705381,-0.8408092461948949,0.07891551106494732,0.5355484605771271
89,-51.62522888183594,-221.70004272460938,-1479.8701171875,-0.10128169737390752,-0.9947777881184846,0.012616261060849262,0.5094111290127242,-0.04096366634696722,0.8595477180921347,-0.8545421694773416,0.09348331565316685,0.5108997458204971
90,-40.18533706665039,-216.04635620117188,-1475.408203125,-0.05059919107341478,-0.9893714037365812,0.13632295232653602,0.46294422935635915,0.09771244571592352,0.8809851976383369,-0.8849420107376318,0.1076870624565442,0.45307961133902014
91,89.63969421386719,-210.60076904296875,-1451.4278564453125,-0.4689905015004809,-0.8828087412981109,0.02639385894431526,0.33131587855799144,-0.14815189000858472,0.9318158649122853,-0.818704890737605,0.44575749435598855,0.3619703829152285
92,81.14932250976562,-208.79127502441406,-1451.4071044921875,-0.4257694613412884,-0.9031225449888043,0.055588078956680755,0.3480629753510999,-0.10676448563983836,0.9313718429262291,-0.8352080764569322,0.4158978400268578,0.3598005776567145
93,78.30232238769531,-209.26065063476562,-1451.3524169921875,-0.41832154566563373,-0.906785859596575,0.052406958198465615,0.35268400020888685,-0.10898898408562804,0.9293736586242589,-0.8370311107889437,0.4072601210328398,0.3654013045786012
94,70.7551040649414,-208.33702087402344,-1455.5247802734375,-0.400805129950135,-0.9153059144715594,0.03962739884269047,0.35551540268185533,-0.11552184703176735,0.9275039090560897,-0.8443719833471582,0.3858364754552778,0.3717070996720874
95,68.09040069580078,-213.82760620117188,-1453.8101806640625,-0.391276563186862,-0.919413621155121,0.039764863071624135,0.3663542186157528,-0.11598060446275475,0.9232188721483628,-0.8442080535052474,0.3758019327024297,0.3822115510734857
